tale_id,num_episodes,num_sentences,num_clauses,num_words,avg_episode_length,avg_sentence_length,avg_clause_length,avg_dep_distance_clause,avg_dep_distance_sentence,avg_dep_distance_episode,Average_Eventfulness,Average_I,CLI,D_h,avg_homothety,hurst_dep_distance,hurst_eventfulness,hurst_I
1,6,61,411,2650,378.57142857142856,43.442622950819676,6.447688564476886,1.2068126520681266,8.131147540983607,70.85714285714286,0.1147540983606557,0.9330825047030368,8.741486988847583,-0.49797240827552486,18.630103838432188,,,
2,18,103,671,4652,244.8421052631579,45.16504854368932,6.9329359165424735,1.0625931445603576,6.922330097087379,37.526315789473685,0.1844660194174757,1.2769346781034971,9.114815189873418,-0.4119336472891885,23.365994820077265,,,
3,3,53,359,2568,642.0,48.45283018867924,7.153203342618385,1.6852367688022285,11.41509433962264,151.25,0.0754716981132075,0.8615165539337842,8.690398550724634,-0.6138223677455523,19.53534451043254,,,
4,11,45,317,2292,191.0,50.93333333333333,7.230283911671925,0.7097791798107256,5.0,18.75,0.2666666666666666,1.3333333333333333,9.917544554455445,-0.4310009304241431,23.05453908166842,,,
5,9,44,279,2030,203.0,46.13636363636363,7.275985663082437,0.7526881720430108,4.7727272727272725,21.0,0.2272727272727272,1.0847107438016528,9.85426953567384,-0.44676615035636713,20.80411643314869,,,
6,7,41,316,2194,274.25,53.51219512195122,6.943037974683544,0.5411392405063291,4.170731707317073,21.375,0.1951219512195122,0.8138013087447948,7.389581993569127,-0.46919005989416007,22.485077698878257,,,
7,7,50,319,2138,267.25,42.76,6.702194357366771,1.2163009404388714,7.76,48.5,0.16,1.2416,7.871884700665188,-0.47819271545057035,18.82073145245559,,,
8,8,61,440,2910,323.3333333333333,47.704918032786885,6.613636363636363,2.497727272727273,18.016393442622952,122.11111111111111,0.1475409836065573,2.658156409567321,8.163812654067378,-0.46470253467503975,20.772851465474417,,,
9,18,107,739,4922,259.05263157894734,46.0,6.660351826792963,2.009472259810555,13.878504672897195,78.15789473684211,0.1775700934579439,2.4644073718228667,9.331182592242197,-0.41547456661845,23.553450608930987,,,
10,6,46,267,2008,286.85714285714283,43.65217391304348,7.520599250936329,2.49438202247191,14.478260869565217,95.14285714285714,0.1521739130434782,2.2032136105860114,8.808335220838053,-0.4828585985612623,19.057591054659934,,,
11,12,209,1165,7792,599.3846153846154,37.282296650717704,6.688412017167382,0.111587982832618,0.6220095693779905,10.0,0.062200956937799,0.0386895904397793,7.39042647994907,-0.4412749520769352,18.65690288929503,,,
12,4,50,300,2062,412.4,41.24,6.873333333333333,0.7,4.2,42.0,0.1,0.42,8.362382022471909,-0.5525924800313956,17.371111111111112,,,
13,3,15,91,628,157.0,41.86666666666667,6.9010989010989015,21.46153846153846,130.2,488.25,0.2666666666666666,34.72,6.149677419354838,-0.6209713050451291,17.255921855921855,,,
14,1,13,81,470,235.0,36.15384615384615,5.802469135802469,17.666666666666668,110.07692307692308,715.5,0.1538461538461538,16.93491124260355,8.207799999999999,inf,14.318771763216207,,,
